mode,grid_size,block_size,init_time,compute_time,avgV
sequential,256,0,0.000267,3.233535,0.067432
sequential,512,0,0.001053,6.977774,0.031105
sequential,1024,0,0.002796,30.837025,0.012490
sequential,2048,0,0.007206,125.747181,0.005356
sequential,4096,0,0.022830,503.801505,0.002456
